attending_count,id,interested_count,maybe_count,noreply_count,start_time,contacts
13,800251580068825,0,0,19,2015-03-30T10:30:00-0600,32
34,1027112343984808,14,14,200,2015-03-26T18:30:00+0000,262
37,1593608237546614,11,11,69,2015-03-25T18:30:00+0100,128
10,1416482751995052,0,0,3,2015-03-25T17:00:00+0000,13
5,769468023149626,0,0,12,2015-03-24T18:15:00+0000,17
35,666563356803350,1,1,14,2015-03-22T17:00:00+0100,51
27,717550815028844,4,4,152,2015-03-21T16:30:00+0800,187
473,778077315607950,124,124,625,2015-03-20T17:00:00+0100,1346
27,1624883474414890,13,13,50,2015-03-15T18:00:00+0000,103
25,773388752741489,8,8,0,2015-03-06T19:00:00+0100,41
235,438167089667795,53,53,412,2015-03-04T19:00:00+0100,753
255,884219948287765,25,25,272,2015-03-03T19:00:00+0100,577
11,663910197054291,1,1,29,2015-02-25T18:00:00+0000,42
396,848326751892809,73,73,1194,2015-02-18T19:00:00+0100,1736
78,1395421940769071,14,14,831,2015-02-17T19:00:00+0100,937
9,1632707783624089,2,2,101,2015-02-16T18:00:00+0000,114
2,400221560146980,2,2,16,2015-02-12T18:00:00+0000,22
5,880364925318402,0,0,1,2015-02-10T13:00:00+0000,6
260,506122296195871,53,53,595,2015-02-07T18:00:00+0100,961
179,828406517206264,35,35,199,2015-02-06T19:30:00+0100,448
7,1408325549459755,1,1,6,2015-02-05T18:00:00+0000,15
65,1568108716760279,19,19,282,2015-02-04T19:00:00+0100,385
17,993146280713891,5,5,463,2015-02-03T16:00:00+0000,490
12,1502461286695487,7,7,25,2015-01-31T17:00:00+0000,51
14,1540664452860632,5,5,57,2015-01-31T16:00:00+0000,81
65,1607127252851588,6,6,115,2015-01-31T16:00:00+0000,192
321,879660092054383,57,57,662,2015-01-31T00:00:00-0800,1097
29,331835847024579,7,7,642,2015-01-30T17:00:00+0000,685
308,713460358770161,25,25,216,2015-01-24T19:00:00+0100,574
15,385698234925709,1,1,75,2015-01-24T14:00:00+0000,92
3,824883577572355,0,0,3,2015-01-19T18:00:00+0000,6
26,1540789756181199,6,6,135,2015-01-13T18:00:00+0100,173
23,949965588366751,10,10,41,2014-12-16T19:00:00+0100,84
116,407613619405998,100,100,2060,2014-12-12T19:00:00+0100,2376
15,351371628367598,6,6,45,2014-12-10T20:00:00+0800,72
13,369357923224459,10,10,178,2014-12-07T15:00:00+0000,211
52,833847053301194,14,14,27,2014-12-06T13:30:00+0100,107
28,1498137533767384,7,7,310,2014-12-06T13:30:00+0100,352
105,861850267171997,14,14,421,2014-12-06T13:25:00+0100,554
13,1569956226573559,5,5,43,2014-12-04T19:00:00+0000,66
10,365858560247169,6,6,22,2014-11-29T13:30:00+0100,44
9,1539005636315830,7,7,10,2014-11-29T13:30:00+0100,33
114,706898836069091,45,45,498,2014-11-29T08:30:00+0100,702
68,809607212429552,17,17,1164,2014-11-28T19:30:00-0600,1266
17,1506495439628006,11,11,90,2014-11-26T19:00:00+0100,129
31,827945950603027,16,16,111,2014-11-25T19:15:00+0100,174
21,1454084771480770,9,9,28,2014-11-22T13:30:00+0100,67
32,557919687643339,5,5,23,2014-11-22T10:00:00+0100,65
4,298967136970906,0,0,1,2014-11-21T11:30:00+0000,5
1,619218248187387,0,0,0,2014-11-18T15:00:00+0000,1
19,356012281232685,10,10,29,2014-11-17T19:30:00+0100,68
11,1551152181786263,5,5,100,2014-11-15T13:00:00+0100,121
22,1501719246752976,16,16,173,2014-11-15T10:00:00+0100,227
70,741593335876436,32,32,788,2014-11-07T19:00:00+0100,922
16,283800565148651,12,12,61,2014-10-29T19:30:00+0100,101
43,1545248172374504,10,10,263,2014-10-24T19:00:00+0200,326
46,1480202385575729,11,11,77,2014-10-23T18:30:00+0100,145
278,802277963157039,78,78,988,2014-10-18T13:00:00+0200,1422
122,329091097262599,44,44,672,2014-10-17T19:00:00+0200,882
27,322421527928649,18,18,40,2014-10-16T19:00:00+0200,103
26,295549653971925,7,7,107,2014-10-08T19:00:00+0200,147
201,702685136468332,48,48,929,2014-10-02T19:00:00+0200,1226
23,659152180847326,22,22,59,2014-09-30T19:30:00+0200,126
18,291411851066889,3,3,11,2014-09-25T19:30:00+0200,35
16,348587431976764,9,9,20,2014-09-25T19:00:00+0200,54
10,697080973714567,5,5,11,2014-09-19T19:30:00-0400,31
15,603294303120872,5,5,12,2014-09-07T13:00:00+0200,37
8,645319665536995,3,3,42,2014-02-15T14:00:00-0600,56
45,486025318158270,20,20,80,2013-07-22T19:30:00+0200,165
108,168202340018509,28,28,478,2013-06-24T09:00:00+0200,642
246,177987162360387,60,60,394,2013-05-29T12:00:00-0300,760
56,164067023745376,11,11,172,2013-03-01T13:00:00-1000,250
17,363539810381180,5,5,6,2012-07-06T16:00:00+0200,33
17,337073663033642,14,14,65,2012-06-28T19:00:00+0200,110
14,130071580460741,14,14,41,2012-05-26T13:30:00+0200,83
8,857889710923642,3,3,51,2012-03-02T17:00:00-0800,65
7,766287820154925,2,2,34,2011-12-02T18:30:00-0800,45
8,818012078248504,4,4,49,2011-10-28T18:00:00-0700,65
3,999369546796523,0,0,0,2011-08-29T19:00:00-0700,3
4,817578104993614,2,2,19,2011-08-24T18:30:00-0700,27
18,617078028394837,1,1,14,2011-08-24T18:30:00-0700,34
5,827990200600477,6,6,28,2011-08-23T19:00:00-0700,45
21,977724638905244,5,5,45,2011-08-22T19:30:00-0700,76
7,819377998139903,2,2,3,2011-08-13T16:00:00-0700,14
10,996244227055304,8,8,90,2011-07-27T17:00:00-0700,116
20,831521313593170,6,6,13,2011-04-28T16:30:00-0700,45
2,617841408252318,1,1,0,2011-04-21T18:30:00-0700,4
136,951652324887762,81,81,1287,2011-04-02T13:30:00-0700,1585
33,845960108809405,10,10,176,2011-03-25T10:00:00-0700,229
22,871491149574181,12,12,139,2011-03-22T16:30:00-0700,185
8,938035236241720,8,8,85,2011-03-20T18:00:00-0700,109
3,803324809722981,1,1,0,2011-03-09T18:00:00-0800,5
2,977476938952794,0,0,0,2011-03-09T12:00:00-0800,2
24,839227669491419,21,21,337,2011-02-28T19:30:00-0800,403
3,907798549280996,1,1,0,2011-02-16T12:30:00-0800,5
